City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Cherskiy,RU,2022-01-29 00:22:07,68.75,161.3,-9.38,93,100,4.36
119,Fortuna,US,2022-01-29 00:18:11,40.5982,-124.1573,62.92,63,0,1.01
120,Qaanaaq,GL,2022-01-29 00:22:08,77.484,-69.3632,-12.86,59,22,8.03
121,Kismayo,SO,2022-01-29 00:22:08,-0.3582,42.5454,77.27,80,82,15.12
122,Puri,IN,2022-01-29 00:22:08,19.8,85.85,57.72,63,46,9.01
123,Fallon,US,2022-01-29 00:21:15,39.4735,-118.7774,47.43,31,75,5.75
124,Reo,BF,2022-01-29 00:22:09,12.3167,-2.4667,75.07,17,6,11.7
125,Avarua,CK,2022-01-29 00:18:27,-21.2078,-159.775,82.45,74,19,12.66
126,Ribeira Grande,PT,2022-01-29 00:22:09,38.5167,-28.7,58.69,61,78,6.91
127,East London,ZA,2022-01-29 00:22:10,-33.0153,27.9116,67.95,77,47,11.5
128,Nyagan,RU,2022-01-29 00:22:10,62.1406,65.3936,-7.78,99,77,4.41
129,Kaitangata,NZ,2022-01-29 00:22:10,-46.2817,169.8464,63.93,75,93,3.53
130,Sabang,ID,2022-01-29 00:22:11,5.8933,95.3214,81.48,78,33,7.43
131,Manjacaze,MZ,2022-01-29 00:22:11,-24.7117,33.8828,73.83,80,84,4.5
132,Ilheus,BR,2022-01-29 00:21:25,-14.7889,-39.0494,82.22,74,40,12.66
133,Sembakung,ID,2022-01-29 00:22:11,3.8167,117.25,78.73,86,79,1.01
134,Olinda,BR,2022-01-29 00:22:12,-8.0089,-34.8553,78.53,78,20,3.44
135,Matara,LK,2022-01-29 00:22:12,5.9485,80.5353,73.15,92,45,4.12
136,Bardstown,US,2022-01-29 00:22:12,37.8092,-85.4669,25.77,93,100,11.5
137,Saint-Augustin,CA,2022-01-29 00:23:13,51.226,-58.6502,19.38,91,100,6.53
138,Beihai,CN,2022-01-29 00:23:13,21.4833,109.1,64.36,84,76,10.36
139,Husavik,IS,2022-01-29 00:18:46,66.0449,-17.3389,28.31,94,95,27.92
140,Luderitz,NA,2022-01-29 00:23:14,-26.6481,15.1594,68.83,72,3,28.1
141,Boyolangu,ID,2022-01-29 00:18:54,-8.1181,111.8935,77.23,85,99,3.74
142,Narsaq,GL,2022-01-29 00:23:14,60.9167,-46.05,19.62,95,100,5.86
143,Olga,RU,2022-01-29 00:23:14,43.7444,135.2892,9.81,53,12,12.01
144,Tasiilaq,GL,2022-01-29 00:23:15,65.6145,-37.6368,15.96,69,48,6.64
145,Haldia,IN,2022-01-29 00:23:15,22.0605,88.1097,56.57,58,0,7.0
146,Anan,JP,2022-01-29 00:23:15,33.9167,134.65,44.38,60,91,13.78
147,Longyearbyen,SJ,2022-01-29 00:23:15,78.2186,15.6401,4.84,78,0,16.11
148,Nevelsk,RU,2022-01-29 00:23:16,46.6733,141.8633,5.43,68,100,14.7
149,May Pen,JM,2022-01-29 00:23:16,17.9645,-77.2451,79.81,74,42,1.61
150,Isiro,CD,2022-01-29 00:23:16,2.7739,27.616,64.42,42,46,3.47
151,Faanui,PF,2022-01-29 00:23:17,-16.4833,-151.75,81.5,73,9,15.84
152,Malakal,SS,2022-01-29 00:23:17,9.5334,31.6605,72.14,16,0,9.89
153,Flinders,AU,2022-01-29 00:23:17,-34.5833,150.8552,85.05,71,30,5.01
154,Arman,RU,2022-01-29 00:23:18,59.7,150.1667,9.95,77,100,15.1
155,Port Lincoln,AU,2022-01-29 00:23:18,-34.7333,135.8667,67.98,73,90,15.5
156,Iglesias,IT,2022-01-29 00:23:18,39.3114,8.535,45.75,87,75,2.1
157,Ostrovnoy,RU,2022-01-29 00:21:08,68.0531,39.5131,11.41,94,90,9.06
158,Marfino,RU,2022-01-29 00:23:19,55.7028,37.3822,21.45,92,75,6.71
159,Beisfjord,NO,2022-01-29 00:23:19,68.3751,17.5988,19.45,86,48,10.02
160,Saint-Francois,FR,2022-01-29 00:23:19,46.4154,3.9054,32.68,97,100,3.44
161,Orastioara De Sus,RO,2022-01-29 00:23:20,45.7333,23.1667,30.83,96,98,2.08
162,Aldan,RU,2022-01-29 00:23:20,58.6031,125.3894,-10.71,99,100,4.12
163,Itarema,BR,2022-01-29 00:23:20,-2.9248,-39.9167,73.31,84,100,6.6
164,Nizwa,OM,2022-01-29 00:23:21,22.9333,57.5333,63.05,54,0,0.87
165,Tuatapere,NZ,2022-01-29 00:23:21,-46.1333,167.6833,72.82,40,95,3.65
166,Damaturu,NG,2022-01-29 00:23:21,11.747,11.9608,60.93,29,5,11.16
167,Roald,NO,2022-01-29 00:23:21,62.5833,6.1333,44.74,93,75,18.41
168,La Ronge,CA,2022-01-29 00:23:22,55.1001,-105.2842,12.45,79,100,5.75
169,Curvelo,BR,2022-01-29 00:23:22,-18.7564,-44.4308,75.97,67,88,1.72
170,Hithadhoo,MV,2022-01-29 00:23:22,-0.6,73.0833,80.29,66,53,7.94
171,Balaghat,IN,2022-01-29 00:23:23,21.8,80.1833,50.83,44,1,5.32
172,Airai,TL,2022-01-29 00:23:23,-8.9266,125.4092,66.58,77,100,4.27
173,Thompson,CA,2022-01-29 00:23:23,55.7435,-97.8558,-5.64,71,100,2.3
174,Avera,US,2022-01-29 00:23:24,33.194,-82.5271,45.72,54,100,15.1
175,Nome,US,2022-01-29 00:21:25,64.5011,-165.4064,0.1,65,0,3.44
176,Tel Aviv-Yafo,IL,2022-01-29 00:23:24,32.0805,34.7805,49.69,94,75,10.36
177,Belyy Yar,RU,2022-01-29 00:23:24,53.6039,91.3903,-7.71,68,75,0.0
178,Godda,IN,2022-01-29 00:23:25,24.8333,87.2167,51.48,71,3,3.96
179,Dabou,CI,2022-01-29 00:23:25,5.3256,-4.3769,80.4,84,69,5.91
180,Los Llanos De Aridane,ES,2022-01-29 00:23:25,28.6585,-17.9182,55.15,73,0,8.01
181,Lebu,CL,2022-01-29 00:18:45,-37.6167,-73.65,60.85,87,1,4.94
182,Langxiang,CN,2022-01-29 00:23:26,46.95,128.8833,-3.37,94,94,4.05
183,Roebourne,AU,2022-01-29 00:23:26,-20.7833,117.1333,82.08,61,49,12.75
184,Khalkhal,IR,2022-01-29 00:24:26,37.6189,48.5258,15.06,91,62,1.79
185,Lompoc,US,2022-01-29 00:21:07,34.6391,-120.4579,72.09,41,0,10.36
186,Nikolskoye,RU,2022-01-29 00:24:27,59.7035,30.7861,26.49,95,100,7.92
187,Santa Maria,BR,2022-01-29 00:24:27,-29.6842,-53.8069,69.1,78,20,10.36
188,Cabo San Lucas,MX,2022-01-29 00:20:11,22.8909,-109.9124,76.6,50,0,1.01
189,Zhangye,CN,2022-01-29 00:24:27,38.9342,100.4517,20.34,33,0,5.61
190,Puerto Ayora,EC,2022-01-29 00:24:28,-0.7393,-90.3518,74.25,82,63,8.25
191,Geraldton,AU,2022-01-29 00:24:28,-28.7667,114.6,93.61,33,0,14.97
192,Codrington,AU,2022-01-29 00:24:28,-38.2667,141.9667,64.53,75,97,12.66
193,Haines Junction,CA,2022-01-29 00:23:53,60.7522,-137.5108,35.55,64,100,8.05
194,Guangyuan,CN,2022-01-29 00:24:29,32.442,105.823,34.52,84,91,2.35
195,Bonfim,BR,2022-01-29 00:24:29,3.0833,-59.95,85.08,47,96,8.57
196,Vestmannaeyjar,IS,2022-01-29 00:24:29,63.4427,-20.2734,30.04,81,100,24.0
197,Noumea,NC,2022-01-29 00:24:30,-22.2763,166.4572,84.18,99,100,11.25
198,Alofi,NU,2022-01-29 00:24:30,-19.0595,-169.9187,85.89,70,72,11.5
199,Maridi,SS,2022-01-29 00:24:30,4.9158,29.4742,70.86,29,78,6.22
200,Strathroy,CA,2022-01-29 00:24:31,42.9551,-81.6223,16.39,61,93,6.35
201,Bibai,JP,2022-01-29 00:24:31,43.3247,141.8586,23.29,83,100,10.63
202,Fushun,CN,2022-01-29 00:24:31,41.8558,123.9233,2.91,72,0,3.13
203,Hamilton,US,2022-01-29 00:24:32,39.1834,-84.5333,20.39,86,100,1.01
204,Zalantun,CN,2022-01-29 00:24:32,48.0,122.7167,-3.05,81,27,7.63
205,Quang Ngai,VN,2022-01-29 00:24:32,15.1167,108.8,69.46,89,47,5.84
206,Pedasi,PA,2022-01-29 00:24:32,7.5333,-80.0333,75.07,77,28,8.14
207,Ugoofaaru,MV,2022-01-29 00:24:33,5.6667,73.0,81.86,69,28,16.13
208,Kargat,RU,2022-01-29 00:24:33,55.1956,80.2811,6.39,96,97,5.01
209,The Valley,AI,2022-01-29 00:24:33,18.217,-63.0578,77.83,68,1,13.96
210,Anadyr,RU,2022-01-29 00:24:34,64.75,177.4833,-3.5,77,20,4.47
211,Staryy Nadym,RU,2022-01-29 00:24:34,65.6118,72.6842,-15.86,100,55,6.22
212,Bubaque,GW,2022-01-29 00:24:34,11.2833,-15.8333,78.33,65,24,16.8
213,Chaihe,CN,2022-01-29 00:24:34,44.7667,129.7,0.23,88,39,8.77
214,Northam,GB,2022-01-29 00:24:35,51.0333,-4.2167,51.39,98,99,18.21
215,Maniitsoq,GL,2022-01-29 00:24:35,65.4167,-52.9,20.66,82,100,33.58
216,Plettenberg Bay,ZA,2022-01-29 00:24:35,-34.0527,23.3716,62.19,78,33,1.83
217,Posse,BR,2022-01-29 00:24:36,-14.0931,-46.3694,67.69,86,97,2.57
218,Gisborne,NZ,2022-01-29 00:24:36,-38.6533,178.0042,70.95,56,69,7.9
219,Kavaratti,IN,2022-01-29 00:24:36,10.5669,72.642,80.6,71,18,9.4
220,Huercal-Overa,ES,2022-01-29 00:24:37,37.389,-1.9454,47.07,60,8,5.08
221,Provideniya,RU,2022-01-29 00:24:37,64.3833,-173.3,0.72,97,20,2.64
222,Cotonou,BJ,2022-01-29 00:24:37,6.3654,2.4183,80.58,89,20,2.3
223,Canutama,BR,2022-01-29 00:24:38,-6.5339,-64.3831,73.92,99,100,2.75
224,Margate,GB,2022-01-29 00:24:38,51.3813,1.3862,48.96,85,100,5.99
225,Kobryn,BY,2022-01-29 00:24:38,52.2138,24.3564,30.36,79,100,19.3
226,Meulaboh,ID,2022-01-29 00:25:39,4.1363,96.1285,77.7,88,63,2.51
227,Beringovskiy,RU,2022-01-29 00:25:39,63.05,179.3167,-1.23,97,97,2.3
228,Ucluelet,CA,2022-01-29 00:25:39,48.9329,-125.5528,46.09,87,79,10.0
229,San Jose Del Guaviare,CO,2022-01-29 00:25:40,2.5729,-72.6459,81.0,34,95,3.06
230,Ilulissat,GL,2022-01-29 00:25:21,69.2167,-51.1,19.42,53,100,23.02
231,Ust-Kuyga,RU,2022-01-29 00:25:40,70.0167,135.6,-24.74,100,96,1.28
232,Douglas,US,2022-01-29 00:22:14,41.3,-96.167,31.89,54,0,1.99
